game_id,esrb_rating
4503,Everyone 10+
28363,Teen
12092,None
27142,None
18142,None
87795,None
719,Teen
5617,Mature
578,Teen
4229,Teen
4185,Adults Only
4223,Mature
4348,Teen
41063,None
4145,Teen
28577,Mature
4461,Everyone 10+
4225,Mature
3965,Mature
4429,Teen
4435,Everyone 10+
4284,Everyone 10+
24244,Mature
4254,Teen
4439,Mature
14784,Mature
4438,Teen
5694,Teen
24247,Everyone
3254,None
29082,Mature
4067,Teen
4293,Teen
19567,Adults Only
14935,None
4009,Teen
28583,Teen
4234,Mature
27124,None
23916,None
4410,Teen
7241,Everyone 10+
10991,None
19584,None
3892,Mature
11387,Teen
40892,None
23600,Mature
4280,None
267220,None
27133,None
4345,Mature
4297,Mature
4369,Everyone 10+
4347,Everyone 10+
4362,Mature
5610,Mature
4332,Mature
3634,Everyone 10+
38055,None
40468,Mature
4227,None
4326,Everyone 10+
27145,None
3594,Mature
27159,Everyone
10824,Teen
12010,None
16113,Mature
26898,None
4179,Mature
4273,Everyone 10+
29746,Teen
3824,Teen
29063,Everyone 10+
802,Mature
4267,None
24227,None
17659,Mature
4251,Everyone
4248,Mature
3879,Everyone 10+
4247,Mature
41162,Teen
4156,Teen
3829,Teen
2597,Everyone 10+
4124,Everyone 10+
4211,Everyone 10+
2623,Mature
13910,None
28527,Teen
4237,Everyone 10+
41416,None
4230,Mature
28529,Teen
26909,Everyone 10+
9609,Everyone
5656,Everyone 10+
28637,Teen
4219,Mature
41607,None
4117,Teen
4209,Mature
26914,Teen
28444,Everyone
4175,Everyone 10+
4073,None
41659,None
4199,Everyone 10+
27181,None
28627,Mature
4167,Mature
1914,None
27953,Everyone
27185,Everyone
14446,Mature
32484,None
966,Everyone 10+
27196,None
27192,None
27967,Everyone
5583,Mature
4187,Teen
41606,Mature
4161,Mature
10810,None
28543,Everyone 10+
2977,Mature
27265,None
18241,Mature
4136,Teen
42056,None
41362,None
4151,None
4154,Mature
4098,Everyone 10+
3991,Mature
4125,Mature
4094,None
24039,None
3958,Teen
41324,Everyone 10+
41782,None
4090,Teen
5286,Mature
27230,Mature
4026,Mature
17600,Mature
3882,Mature
38945,Teen
4077,Teen
28628,Mature
24101,Mature
41785,None
27235,None
4062,Mature
27263,None
4057,Adults Only
211,Teen
3691,Teen
28395,Mature
27253,None
3884,Mature
24075,Mature
4003,Everyone 10+
16700,None
29001,Mature
4000,Mature
19536,Mature
20779,None
3992,Teen
3870,None
24093,None
3044,Adults Only
10243,None
27309,None
