platform_id,game_id
N64,4503
PS,4503
PS3,28363
X360,28363
PC,12092
3DS,27142
PC,18142
PC,87795
PC,719
X360,5617
PS3,5617
PC,578
PSV,4229
PS3,4229
PC,4185
X360,4185
PS3,4185
X360,4223
PC,4223
PS3,4223
PSV,4348
PS3,41063
X360,41063
PS,4145
X360,28577
PS3,28577
WiiU,28577
PSV,4461
3DS,4225
PS3,3965
X360,3965
PSV,4429
PSV,4435
PS2,4284
X360,4284
PS3,4284
DS,24244
3DS,24244
PS3,4254
PS3,4439
PC,4439
WiiU,4439
X360,4439
PS3,14784
X360,14784
PSV,4438
PS3,5694
X360,5694
Wii,24247
PS3,3254
X360,29082
PS3,29082
PS3,4067
PS3,4293
X360,19567
PS3,19567
PC,19567
PC,14935
PS3,4009
X360,28583
X360,4234
PS3,4234
3DS,27124
Wii,23916
PSV,4410
PC,7241
3DS,10991
X360,19584
PS3,19584
PC,19584
PS3,3892
X360,3892
WiiU,3892
PS3,11387
X360,11387
PS3,40892
PC,23600
PS3,23600
X360,23600
PS4,23600
XOne,23600
PS3,4280
X360,4280
PC,4280
X360,267220
PS3,267220
PC,267220
3DS,27133
X360,4345
PS3,4345
PC,4345
PS3,4297
X360,4297
PS3,4369
X360,4347
PS3,4347
PSV,4362
PS3,5610
X360,5610
PC,4332
PS3,4332
X360,4332
PS3,3634
PSV,3634
PC,38055
PSV,40468
PSV,4227
PS3,4326
X360,4326
GB,27145
PSP,3594
PSV,3594
3DS,27159
PC,10824
Wii,12010
PS3,16113
X360,16113
PC,16113
PS4,16113
XOne,16113
Wii,26898
PC,4179
WiiU,4179
X360,4179
PS3,4179
XOne,4179
PS4,4179
WiiU,4273
PSV,4273
PS3,4273
X360,4273
Wii,4273
PC,29746
PS3,3824
PSV,3824
X360,29063
PS3,29063
PS3,802
X360,802
PC,802
PSV,802
PC,4267
X360,4267
PS3,4267
PC,24227
PS3,24227
3DS,24227
Wii,24227
PSP,24227
X360,24227
PC,17659
PS3,17659
X360,17659
