game_id,game_name,release_date,genre
4503,NFL Blitz,2012-01-03,Sports
28363,UFC Undisputed 3,2012-01-03,Action
12092,Age of Empires III: Complete Collection,2012-01-05,Strategy
27142,Rhythm Thief & the Emperor's Treasure,2012-01-19,Misc
18142,Oil Rush,2012-01-25,Strategy
87795,Tropico 3: Gold Edition,2012-01-26,Strategy
719,Deponia,2012-01-27,Adventure
5617,NeverDead,2012-01-31,Shooter
578,Star Trek Online,2012-01-31,Role-Playing
4229,Ragnarok Odyssey,2012-02-02,Role-Playing
4185,Kingdoms of Amalur: Reckoning,2012-02-07,Role-Playing
4223,The Darkness II,2012-02-07,Shooter
4348,Gravity Rush,2012-02-09,Action
41063,Grand Slam Tennis 2,2012-02-09,Sports
4145,Twisted Metal,2012-02-14,Action
28577,Ninja Gaiden 3,2012-02-14,Action
4461,Little Deviants,2012-02-14,Platform
4225,Zero Escape: Virtue's Last Reward,2012-02-16,Adventure
3965,Binary Domain,2012-02-16,Action
4429,Reality Fighters,2012-02-22,Fighting
4435,MotorStorm RC,2012-02-22,Racing
4284,SSX,2012-02-28,Sports
24244,Shin Megami Tensei: Devil Survivor 2,2012-02-28,Role-Playing
4254,One Piece: Pirate Warriors,2012-03-01,Action
4439,Mass Effect 3,2012-03-05,Role-Playing
14784,Blades of Time,2012-03-06,Action
4438,Unit 13,2012-03-06,Shooter
5694,Top Gun: Hard Lock,2012-03-09,Action
24247,Mario Party 9,2012-03-11,Misc
3254,Journey,2012-03-13,Adventure
29082,Silent Hill: Downpour,2012-03-13,Action
4067,Tales of Graces f,2012-03-13,Role-Playing
4293,Legasista,2012-03-15,Role-Playing
19567,Resident Evil: Operation Raccoon City,2012-03-20,Action
14935,Total War: Shogun 2 - Fall of the Samurai,2012-03-22,Strategy
4009,Mugen Souls,2012-03-22,Role-Playing
28583,Kinect Star Wars,2012-03-22,Action
4234,Devil May Cry HD Collection,2012-03-22,Action
27124,Kid Icarus: Uprising,2012-03-23,Action
23916,Pandora's Tower,2012-04-13,Role-Playing
4410,Disgaea 3: Absence of Detention,2012-04-17,Role-Playing
7241,Botanicula,2012-04-18,Adventure
10991,Code of Princess,2012-04-19,Action
19584,Risen 2: Dark Waters,2012-04-23,Role-Playing
3892,Sniper Elite V2,2012-05-01,Shooter
11387,Port Royale 3,2012-05-04,Simulation
40892,Starhawk,2012-05-08,Action
23600,Diablo III,2012-05-15,Role-Playing
4280,Max Payne 3,2012-05-15,Shooter
267220,Game of Thrones,2012-05-15,Role-Playing
27133,Mario Tennis Open,2012-05-20,Sports
4345,Tom Clancy's Ghost Recon: Future Soldier,2012-05-22,Shooter
4297,Dragon's Dogma,2012-05-22,Role-Playing
4369,Sorcery,2012-05-22,Action
4347,DiRT Showdown,2012-05-24,Racing
4362,Resistance: Burning Skies,2012-05-29,Shooter
5610,Lollipop Chainsaw,2012-06-12,Action
4332,Spec Ops: The Line,2012-06-26,Shooter
3634,Ratchet & Clank Collection,2012-06-27,Action
38055,The Secret World,2012-07-03,Role-Playing
40468,Phantasy Star Online 2,2012-07-04,Role-Playing
4227,Dokuro,2012-07-05,Action
4326,NCAA Football 13,2012-07-10,Action
27145,Kirby's Pinball Land,2012-07-12,Misc
3594,Danganronpa 2: Goodbye Despair,2012-07-26,Misc
27159,New Super Mario Bros. 2,2012-07-28,Platform
10824,The Book of Unwritten Tales,2012-07-30,Adventure
12010,Real Heroes: Firefighter,2012-08-10,Action
16113,Sleeping Dogs,2012-08-14,Action
26898,The Last Story,2012-08-14,Role-Playing
4179,Darksiders II,2012-08-14,Action
4273,Madden NFL 13,2012-08-28,Sports
29746,Guild Wars 2,2012-08-28,Action
3824,Hyperdimension Neptunia Victory,2012-08-30,Role-Playing
29063,NHL 13,2012-09-11,Sports
802,Borderlands 2,2012-09-18,Shooter
4267,F1 2012,2012-09-18,Racing
24227,Pro Evolution Soccer 2013,2012-09-19,Sports
17659,The Testament of Sherlock Holmes,2012-09-20,Adventure
4251,LittleBigPlanet PS Vita,2012-09-25,Platform
4248,Dishonored,2012-09-25,Action
3879,Angry Birds Trilogy,2012-09-25,Action
4247,Dead or Alive 5,2012-09-25,Fighting
41162,World of Warcraft: Mists of Pandaria,2012-09-25,Role-Playing
4156,Earth Defense Force 2017 Portable,2012-09-27,Action
3829,Ys: Memories of Celceta,2012-09-27,Action
2597,LEGO The Lord of the Rings,2012-09-28,Action
4124,Just Dance 4,2012-10-02,Misc
4211,NBA 2K13,2012-10-02,Sports
