game_id,game_name,release_date,rating,metacritic,esrb_rating,platform_id,genre,sales_units_in_millions
4503,NFL Blitz,2012-01-03,3.8,Not Rated,Everyone 10+,N64,Sports,1.06
4503,NFL Blitz,2012-01-03,3.8,Not Rated,Everyone 10+,PS,Sports,1.5
28363,UFC Undisputed 3,2012-01-03,3.65,Not Rated,Teen,PS3,Action,1.03
28363,UFC Undisputed 3,2012-01-03,3.65,Not Rated,Teen,X360,Action,0.99
12092,Age of Empires III: Complete Collection,2012-01-05,4.13,81.0,None,PC,Strategy,0.17
27142,Rhythm Thief & the Emperor's Treasure,2012-01-19,4.0,Not Rated,None,3DS,Misc,0.27
18142,Oil Rush,2012-01-25,2.38,67.0,None,PC,Strategy,0.02
87795,Tropico 3: Gold Edition,2012-01-26,0.0,Not Rated,None,PC,Strategy,0.01
719,Deponia,2012-01-27,3.85,74.0,Teen,PC,Adventure,0.15
5617,NeverDead,2012-01-31,3.03,Not Rated,Mature,X360,Shooter,0.1
5617,NeverDead,2012-01-31,3.03,Not Rated,Mature,PS3,Shooter,0.12
578,Star Trek Online,2012-01-31,2.79,76.0,Teen,PC,Role-Playing,0.02
4229,Ragnarok Odyssey,2012-02-02,3.5,Not Rated,Teen,PSV,Role-Playing,0.4
4229,Ragnarok Odyssey,2012-02-02,3.5,Not Rated,Teen,PS3,Role-Playing,0.04
4185,Kingdoms of Amalur: Reckoning,2012-02-07,3.64,81.0,Adults Only,PC,Role-Playing,0.3
4185,Kingdoms of Amalur: Reckoning,2012-02-07,3.64,81.0,Adults Only,X360,Role-Playing,0.87
4185,Kingdoms of Amalur: Reckoning,2012-02-07,3.64,81.0,Adults Only,PS3,Role-Playing,0.85
4223,The Darkness II,2012-02-07,3.7,77.0,Mature,X360,Shooter,0.39
4223,The Darkness II,2012-02-07,3.7,77.0,Mature,PC,Shooter,0.14
4223,The Darkness II,2012-02-07,3.7,77.0,Mature,PS3,Shooter,0.32
4348,Gravity Rush,2012-02-09,3.93,83.0,Teen,PSV,Action,0.56
41063,Grand Slam Tennis 2,2012-02-09,0.0,Not Rated,None,PS3,Sports,0.23
41063,Grand Slam Tennis 2,2012-02-09,0.0,Not Rated,None,X360,Sports,0.18
4145,Twisted Metal,2012-02-14,3.51,76.0,Teen,PS,Action,1.56
28577,Ninja Gaiden 3,2012-02-14,3.29,Not Rated,Mature,X360,Action,0.25
28577,Ninja Gaiden 3,2012-02-14,3.29,Not Rated,Mature,PS3,Action,0.43
28577,Ninja Gaiden 3,2012-02-14,3.29,Not Rated,Mature,WiiU,Action,0.18
4461,Little Deviants,2012-02-14,2.58,Not Rated,Everyone 10+,PSV,Platform,0.3
4225,Zero Escape: Virtue's Last Reward,2012-02-16,4.39,Not Rated,Mature,3DS,Adventure,0.03
3965,Binary Domain,2012-02-16,3.58,68.0,Mature,PS3,Action,0.33
3965,Binary Domain,2012-02-16,3.58,68.0,Mature,X360,Action,0.19
4429,Reality Fighters,2012-02-22,2.22,Not Rated,Teen,PSV,Fighting,0.12
4435,MotorStorm RC,2012-02-22,3.06,Not Rated,Everyone 10+,PSV,Racing,0.06
4284,SSX,2012-02-28,3.52,82.0,Everyone 10+,PS2,Sports,1.66
4284,SSX,2012-02-28,3.52,82.0,Everyone 10+,X360,Sports,0.7
4284,SSX,2012-02-28,3.52,82.0,Everyone 10+,PS3,Sports,0.91
24244,Shin Megami Tensei: Devil Survivor 2,2012-02-28,0.0,Not Rated,Mature,DS,Role-Playing,0.31
24244,Shin Megami Tensei: Devil Survivor 2,2012-02-28,0.0,Not Rated,Mature,3DS,Role-Playing,0.12
4254,One Piece: Pirate Warriors,2012-03-01,3.43,Not Rated,Teen,PS3,Action,1.18
4439,Mass Effect 3,2012-03-05,4.4,90.0,Mature,PS3,Role-Playing,1.42
4439,Mass Effect 3,2012-03-05,4.4,90.0,Mature,PC,Role-Playing,0.97
4439,Mass Effect 3,2012-03-05,4.4,90.0,Mature,WiiU,Role-Playing,0.27
4439,Mass Effect 3,2012-03-05,4.4,90.0,Mature,X360,Role-Playing,3.04
14784,Blades of Time,2012-03-06,3.24,63.0,Mature,PS3,Action,0.1
14784,Blades of Time,2012-03-06,3.24,63.0,Mature,X360,Action,0.1
4438,Unit 13,2012-03-06,2.84,Not Rated,Teen,PSV,Shooter,0.5
5694,Top Gun: Hard Lock,2012-03-09,0.0,Not Rated,Teen,PS3,Action,0.03
5694,Top Gun: Hard Lock,2012-03-09,0.0,Not Rated,Teen,X360,Action,0.06
24247,Mario Party 9,2012-03-11,3.09,73.0,Everyone,Wii,Misc,3.13
3254,Journey,2012-03-13,4.34,92.0,None,PS3,Adventure,0.21
29082,Silent Hill: Downpour,2012-03-13,3.31,Not Rated,Mature,X360,Action,0.32
29082,Silent Hill: Downpour,2012-03-13,3.31,Not Rated,Mature,PS3,Action,0.46
4067,Tales of Graces f,2012-03-13,3.86,Not Rated,Teen,PS3,Role-Playing,0.98
4293,Legasista,2012-03-15,0.0,Not Rated,Teen,PS3,Role-Playing,0.04
19567,Resident Evil: Operation Raccoon City,2012-03-20,2.66,48.0,Adults Only,X360,Action,0.77
19567,Resident Evil: Operation Raccoon City,2012-03-20,2.66,48.0,Adults Only,PS3,Action,1.17
19567,Resident Evil: Operation Raccoon City,2012-03-20,2.66,48.0,Adults Only,PC,Action,0.04
14935,Total War: Shogun 2 - Fall of the Samurai,2012-03-22,4.36,86.0,None,PC,Strategy,0.2
4009,Mugen Souls,2012-03-22,3.0,Not Rated,Teen,PS3,Role-Playing,0.15
28583,Kinect Star Wars,2012-03-22,3.15,Not Rated,Teen,X360,Action,1.74
4234,Devil May Cry HD Collection,2012-03-22,4.28,70.0,Mature,X360,Action,0.43
4234,Devil May Cry HD Collection,2012-03-22,4.28,70.0,Mature,PS3,Action,0.82
27124,Kid Icarus: Uprising,2012-03-23,4.3,83.0,None,3DS,Action,1.27
23916,Pandora's Tower,2012-04-13,4.21,Not Rated,None,Wii,Role-Playing,0.31
4410,Disgaea 3: Absence of Detention,2012-04-17,3.35,Not Rated,Teen,PSV,Role-Playing,0.27
7241,Botanicula,2012-04-18,3.87,82.0,Everyone 10+,PC,Adventure,0.03
10991,Code of Princess,2012-04-19,2.43,53.0,None,3DS,Action,0.2
