game_id,metacritic,rating
4503,Not Rated,3.8
28363,Not Rated,3.65
12092,81.0,4.13
27142,Not Rated,4.0
18142,67.0,2.38
87795,Not Rated,0.0
719,74.0,3.85
5617,Not Rated,3.03
578,76.0,2.79
4229,Not Rated,3.5
4185,81.0,3.64
4223,77.0,3.7
4348,83.0,3.93
41063,Not Rated,0.0
4145,76.0,3.51
28577,Not Rated,3.29
4461,Not Rated,2.58
4225,Not Rated,4.39
3965,68.0,3.58
4429,Not Rated,2.22
4435,Not Rated,3.06
4284,82.0,3.52
24244,Not Rated,0.0
4254,Not Rated,3.43
4439,90.0,4.4
14784,63.0,3.24
4438,Not Rated,2.84
5694,Not Rated,0.0
24247,73.0,3.09
3254,92.0,4.34
29082,Not Rated,3.31
4067,Not Rated,3.86
4293,Not Rated,0.0
19567,48.0,2.66
14935,86.0,4.36
4009,Not Rated,3.0
28583,Not Rated,3.15
4234,70.0,4.28
27124,83.0,4.3
23916,Not Rated,4.21
4410,Not Rated,3.35
7241,82.0,3.87
10991,53.0,2.43
19584,69.0,3.38
3892,66.0,3.38
11387,55.0,3.0
40892,Not Rated,3.28
23600,88.0,4.1
4280,87.0,4.25
267220,Not Rated,3.14
27133,Not Rated,3.67
4345,71.0,3.67
4297,Not Rated,4.23
4369,Not Rated,3.62
4347,74.0,3.26
4362,Not Rated,3.37
5610,68.0,3.91
4332,76.0,4.07
3634,Not Rated,4.38
38055,Not Rated,0.0
40468,Not Rated,3.52
4227,Not Rated,2.69
4326,Not Rated,3.38
27145,Not Rated,0.0
3594,84.0,4.36
27159,78.0,3.69
10824,82.0,3.58
12010,Not Rated,0.0
16113,81.0,4.1
26898,80.0,4.16
4179,83.0,3.71
4273,Not Rated,2.68
29746,Not Rated,4.07
3824,Not Rated,0.0
29063,84.0,3.12
802,89.0,4.05
4267,80.0,3.88
24227,Not Rated,4.29
17659,73.0,3.45
4251,88.0,3.91
4248,91.0,4.37
3879,64.0,3.48
4247,Not Rated,3.46
41162,82.0,3.97
4156,Not Rated,3.38
3829,Not Rated,3.85
2597,80.0,3.43
