Game_ID,Game_Name,Release_Date,Ratings,Metacritic,ESRB_rating
41142,War of the Immortals,2012-01-01,0.0,Not Rated,None
16757,1000 Amps,2012-01-01,3.67,Not Rated,None
59026,The Light,2012-01-01,3.92,Not Rated,None
4503,NFL Blitz,2012-01-03,3.8,Not Rated,Everyone 10+
28363,UFC Undisputed 3,2012-01-03,3.65,Not Rated,Teen
128,Super Crate Box,2012-01-05,3.25,Not Rated,Everyone
12092,Age of Empires III: Complete Collection,2012-01-05,4.13,81.0,None
4487,AMY,2012-01-10,2.62,Not Rated,Mature
4494,Zack Zero,2012-01-11,3.0,Not Rated,Everyone 10+
1082,Hero Academy,2012-01-11,2.77,75.0,Everyone 10+
41300,BoneCraft,2012-01-12,0.0,Not Rated,None
1994,Cytus,2012-01-12,4.12,Not Rated,None
15079,Blackwell Convergence,2012-01-13,3.87,Not Rated,None
19576,The Blackwell Legacy,2012-01-13,3.77,80.0,None
20850,Blackwell Unbound,2012-01-13,3.69,Not Rated,Teen
15889,Lunar Flight,2012-01-15,2.67,Not Rated,None
19281,Dustforce DX,2012-01-16,3.26,79.0,Everyone 10+
14679,Evochron Mercenary,2012-01-16,3.0,70.0,None
5776,Frederic: Resurrection of Music,2012-01-17,2.68,Not Rated,None
3788,Dustforce,2012-01-17,3.1,Not Rated,Everyone 10+
13493,A Sirius Game,2012-01-18,1.0,Not Rated,None
27142,Rhythm Thief & the Emperor's Treasure,2012-01-19,4.0,Not Rated,None
4476,WipEout 2048,2012-01-19,3.78,Not Rated,Everyone 10+
4474,Super Stardust Delta,2012-01-19,4.0,Not Rated,Everyone 10+
17644,Triple Town,2012-01-19,3.74,Not Rated,None
6320,Unstoppable Gorg,2012-01-19,2.42,73.0,Everyone 10+
52217,Defender's Quest: Valley of the Forgotten DX,2012-01-20,3.78,Not Rated,Teen
21271,AVSEQ,2012-01-22,0.0,Not Rated,None
339241,Rexaura,2012-01-22,3.18,Not Rated,Teen
8000,"Hack, Slash, Loot",2012-01-23,2.09,Not Rated,Everyone 10+
4433,Warp,2012-01-24,3.83,Not Rated,Mature
18343,SOL: Exodus,2012-01-25,0.0,57.0,None
28309,Quarrel,2012-01-25,0.0,Not Rated,Everyone 10+
3650,Puddle,2012-01-25,2.76,70.0,None
18142,Oil Rush,2012-01-25,2.38,67.0,None
21066,Roads of Rome 3,2012-01-25,0.0,Not Rated,Everyone 10+
364801,Soul Calibur V,2012-01-26,3.79,79.0,Teen
1463,Mutant Mudds,2012-01-26,3.14,Not Rated,None
87795,Tropico 3: Gold Edition,2012-01-26,0.0,Not Rated,None
14768,King Arthur II: The Role-Playing Wargame,2012-01-27,2.73,66.0,None
719,Deponia,2012-01-27,3.85,74.0,Teen
28868,Junk Fu,2012-01-30,0.0,Not Rated,Everyone
22463,Fortune Summoners,2012-01-30,3.25,Not Rated,None
41202,Law & Order: Legacies,2012-01-30,0.0,Not Rated,None
5617,NeverDead,2012-01-31,3.03,Not Rated,Mature
578,Star Trek Online,2012-01-31,2.79,76.0,Teen
41404,Fortune Summoners: Secret of the Elemental Stone,2012-01-31,0.0,Not Rated,None
4149,American Mensa Academy,2012-01-31,0.0,Not Rated,Everyone 10+
50838,The Crooked Man,2012-01-31,3.38,Not Rated,None
41468,Doc Apocalypse,2012-02-01,0.0,Not Rated,None
3934,A-men,2012-02-01,0.0,Not Rated,Everyone 10+
17120,Analogue: A Hate Story,2012-02-01,3.69,62.0,None
4467,Hungry Giraffe,2012-02-01,0.0,Not Rated,Everyone 10+
21462,Victorian Admirals,2012-02-01,0.0,Not Rated,None
4229,Ragnarok Odyssey,2012-02-02,3.5,Not Rated,Teen
19448,Pineapple Smash Crew,2012-02-02,0.0,62.0,None
41552,Furmins,2012-02-02,0.0,Not Rated,None
3705,Titan Attacks!,2012-02-03,2.74,Not Rated,Everyone 10+
4097,Port Royale 3 Pirates & Merchants,2012-02-05,0.0,Not Rated,Teen
4012,Resident Evil Revelations,2012-02-07,3.74,77.0,Mature
281853,Ib,2012-02-07,4.43,Not Rated,None
4185,Kingdoms of Amalur: Reckoning,2012-02-07,3.64,81.0,Adults Only
4472,ModNation Racers: Road Trip,2012-02-07,3.23,Not Rated,Everyone 10+
3988,Jak and Daxter Collection,2012-02-07,4.11,Not Rated,Teen
28601,Gotham City Impostors,2012-02-07,2.88,Not Rated,Teen
4223,The Darkness II,2012-02-07,3.7,77.0,Mature
43422,Fallout: New Vegas - Ultimate Edition,2012-02-07,4.43,Not Rated,None
4473,Shank 2,2012-02-07,3.58,72.0,Adults Only
20299,Scoregasm,2012-02-08,0.0,Not Rated,None
13972,Jagged Alliance - Back in Action,2012-02-08,2.55,62.0,None
4313,Malicious,2012-02-08,2.64,Not Rated,Teen
2012,Eufloria HD,2012-02-09,3.55,Not Rated,None
4348,Gravity Rush,2012-02-09,3.93,83.0,Teen
4292,Deep Black,2012-02-09,0.0,Not Rated,Mature
