game_id,platform_id,sales_units_in_millions
4503,N64,1.06
4503,PS,1.5
28363,PS3,1.03
28363,X360,0.99
12092,PC,0.17
27142,3DS,0.27
18142,PC,0.02
87795,PC,0.01
719,PC,0.15
5617,X360,0.1
5617,PS3,0.12
578,PC,0.02
4229,PSV,0.4
4229,PS3,0.04
4185,PC,0.3
4185,X360,0.87
4185,PS3,0.85
4223,X360,0.39
4223,PC,0.14
4223,PS3,0.32
4348,PSV,0.56
41063,PS3,0.23
41063,X360,0.18
4145,PS,1.56
28577,X360,0.25
28577,PS3,0.43
28577,WiiU,0.18
4461,PSV,0.3
4225,3DS,0.03
3965,PS3,0.33
3965,X360,0.19
4429,PSV,0.12
4435,PSV,0.06
4284,PS2,1.66
4284,X360,0.7
4284,PS3,0.91
24244,DS,0.31
24244,3DS,0.12
4254,PS3,1.18
4439,PS3,1.42
4439,PC,0.97
4439,WiiU,0.27
4439,X360,3.04
14784,PS3,0.1
14784,X360,0.1
4438,PSV,0.5
5694,PS3,0.03
5694,X360,0.06
24247,Wii,3.13
3254,PS3,0.21
29082,X360,0.32
29082,PS3,0.46
4067,PS3,0.98
4293,PS3,0.04
19567,X360,0.77
19567,PS3,1.17
19567,PC,0.04
14935,PC,0.2
4009,PS3,0.15
28583,X360,1.74
4234,X360,0.43
4234,PS3,0.82
27124,3DS,1.27
23916,Wii,0.31
4410,PSV,0.27
7241,PC,0.03
10991,3DS,0.2
19584,X360,0.14
19584,PS3,0.22
19584,PC,0.22
3892,PS3,0.96
3892,X360,0.84
3892,WiiU,0.02
11387,PS3,0.07
11387,X360,0.07
40892,PS3,0.29
23600,PC,5.14
23600,PS3,1.91
23600,X360,1.41
23600,PS4,1.82
23600,XOne,0.66
4280,PS3,1.85
4280,X360,1.62
4280,PC,0.43
267220,X360,0.25
267220,PS3,0.24
267220,PC,0.08
27133,3DS,0.95
4345,X360,1.47
4345,PS3,0.95
4345,PC,0.17
4297,PS3,1.74
4297,X360,0.79
4369,PS3,0.29
4347,X360,0.23
4347,PS3,0.18
4362,PSV,0.41
5610,PS3,0.66
5610,X360,0.48
4332,PC,0.23
4332,PS3,0.54
4332,X360,0.42
3634,PS3,0.72
3634,PSV,0.02
38055,PC,0.17
40468,PSV,0.16
4227,PSV,0.01
4326,PS3,0.89
4326,X360,1.09
27145,GB,2.19
3594,PSP,0.19
3594,PSV,0.17
27159,3DS,9.9
10824,PC,0.1
12010,Wii,0.64
16113,PS3,1.04
16113,X360,0.87
16113,PC,0.12
16113,PS4,0.43
16113,XOne,0.2
26898,Wii,0.65
4179,PC,0.15
4179,WiiU,0.15
4179,X360,0.79
4179,PS3,0.84
4179,XOne,0.06
4179,PS4,0.22
4273,WiiU,0.23
4273,PSV,2.57
4273,PS3,2.56
4273,X360,2.86
4273,Wii,0.5
29746,PC,2.31
3824,PS3,0.16
3824,PSV,0.07
29063,X360,0.66
29063,PS3,0.64
802,PS3,2.23
802,X360,3.05
802,PC,0.93
802,PSV,0.64
4267,PC,0.15
4267,X360,0.49
4267,PS3,1.03
24227,PC,0.08
24227,PS3,1.53
24227,3DS,0.18
24227,Wii,0.09
24227,PSP,0.27
24227,X360,0.31
17659,PC,0.07
17659,PS3,0.24
17659,X360,0.02
4251,PSV,1.25
4248,X360,1.71
4248,PS3,1.53
4248,PC,0.51
4248,XOne,0.15
4248,PS4,0.39
3879,PS3,0.16
3879,3DS,0.63
3879,X360,0.26
4247,X360,0.32
4247,PS3,0.64
4247,PSV,0.09
4247,PS4,0.34
4247,XOne,0.09
41162,PC,1.82
4156,PSV,0.06
3829,PSV,0.24
2597,3DS,0.39
2597,PC,0.22
2597,DS,0.13
2597,Wii,0.9
2597,PS3,1.05
2597,PSV,0.28
2597,X360,1.23
4124,Wii,6.76
4124,WiiU,0.37
4124,X360,1.18
4124,PS3,0.43
4211,PC,0.03
4211,X360,3.0
4211,Wii,0.42
4211,WiiU,0.13
4211,PS3,2.47
2623,X360,1.95
2623,PC,0.04
2623,PS3,3.1
2623,PS4,0.08
2623,XOne,0.05
13910,PC,0.71
13910,X360,0.62
13910,PS3,0.57
28527,X360,0.28
4237,PS2,1.67
4237,XB,0.34
4237,GC,0.2
41416,PS3,0.17
4230,PSV,0.2
28529,X360,0.81
26909,Wii,0.06
26909,X360,0.05
9609,PC,0.13
5656,WiiU,0.37
5656,3DS,0.14
5656,PS3,1.06
5656,Wii,2.52
5656,X360,1.3
28637,X360,1.96
4219,PS3,1.41
4219,PC,0.33
4219,X360,1.15
41607,PC,0.96
41607,X360,0.38
41607,PS3,0.14
4117,X360,0.2
4117,PS3,0.42
4209,PSV,1.32
26914,PS3,1.35
26914,Wii,0.15
26914,X360,1.27
28444,X360,0.04
4175,PS3,0.23
4073,PS2,1.6
41659,PC,1.15
4199,PS3,0.87
27181,3DS,0.91
28627,X360,9.71
4167,X360,0.4
4167,PC,0.27
4167,PS3,0.43
1914,PS3,0.29
1914,Wii,0.26
1914,XOne,0.16
1914,PS4,0.21
1914,X360,0.28
1914,3DS,0.34
1914,WiiU,0.1
1914,PSV,0.08
27953,3DS,9.16
27185,3DS,2.3
14446,X360,13.67
14446,PS3,13.79
14446,PC,1.53
14446,WiiU,0.41
32484,PC,0.16
966,PSV,0.38
966,WiiU,0.51
966,3DS,0.29
966,X360,0.58
966,PS3,0.49
966,PC,0.01
27196,WiiU,4.42
27192,WiiU,1.01
27192,XOne,0.01
27192,PS4,0.06
27967,WiiU,5.22
5583,PS3,2.14
5583,X360,1.73
5583,PC,0.24
4187,PSV,0.45
4187,PS3,0.95
41606,X360,0.25
41606,PS3,0.26
4161,PS3,3.35
4161,X360,3.0
4161,PC,0.96
10810,PC,0.06
28543,X360,0.3
2977,PS3,0.59
