Name,released,ratings,metacritic,esrb
Grand Theft Auto V,2013-09-17,4.48,97.0,Mature
The Witcher 3: Wild Hunt,2015-05-18,4.67,92.0,Mature
Tomb Raider (2013),2013-03-05,4.07,86.0,Mature
Borderlands 2,2012-09-18,4.05,89.0,Mature
Counter-Strike: Global Offensive,2012-08-21,3.59,81.0,Mature
BioShock Infinite,2013-03-26,4.39,94.0,Mature
Life is Strange,2015-01-29,4.11,83.0,Mature
DOOM (2016),2016-05-13,4.4,85.0,Mature
Fallout 4,2015-11-09,3.77,84.0,Mature
PAYDAY 2,2013-08-13,3.5,79.0,Adults Only
Rocket League,2015-07-07,4.0,86.0,Everyone
Dota 2,2013-07-09,3.11,90.0,None
Metal Gear Solid V: The Phantom Pain,2015-09-01,4.17,91.0,Mature
The Walking Dead: Season 1,2012-04-23,4.3,92.0,Mature
Warframe,2013-03-25,3.46,73.0,Mature
Rise of the Tomb Raider,2015-11-10,4.02,86.0,None
The Witcher 2: Assassins of Kings Enhanced Edition,2012-04-16,4.2,88.0,Mature
Batman: Arkham Knight,2015-06-22,4.22,81.0,Mature
Middle-earth: Shadow of Mordor,2014-09-30,3.88,85.0,Mature
Hitman,2016-03-11,3.94,83.0,Adults Only
Uncharted 4: A Thief’s End,2016-05-10,4.52,93.0,Teen
Spec Ops: The Line,2012-06-26,4.07,76.0,Mature
Hotline Miami,2012-10-22,4.36,85.0,None
Deus Ex: Mankind Divided,2016-08-22,3.96,83.0,Mature
Outlast,2013-09-03,3.67,80.0,Mature
BioShock Remastered,2016-09-15,4.27,,Mature
Dark Souls III,2016-04-11,4.41,89.0,None
Far Cry 3,2012-11-28,4.24,88.0,Mature
The Last Of Us Remastered,2014-07-29,4.69,95.0,Mature
Wolfenstein: The New Order,2014-05-19,4.2,81.0,None
Injustice: Gods Among Us Ultimate Edition,2013-11-12,3.57,80.0,Mature
Hitman: Absolution,2012-11-19,3.71,79.0,Mature
Path of Exile,2013-10-23,3.67,86.0,None
Assassin’s Creed IV: Black Flag,2013-10-29,4.1,85.0,Mature
Bloodborne,2015-03-24,4.41,92.0,Mature
Dishonored,2012-09-25,4.37,91.0,Mature
Metal Gear Solid V: Ground Zeroes,2014-03-18,3.9,80.0,None
Borderlands: The Pre-Sequel,2014-10-13,3.56,75.0,None
XCOM: Enemy Unknown,2012-10-09,4.2,89.0,None
Journey,2012-03-13,4.35,92.0,None
Just Cause 3,2015-11-30,3.34,74.0,Mature
Mad Max,2015-08-31,3.74,73.0,Mature
Company of Heroes 2,2013-06-25,3.14,80.0,None
Mortal Kombat X,2015-04-07,3.87,76.0,Mature
Stardew Valley,2016-02-25,4.4,89.0,Everyone 10+
Don't Starve Together,2016-04-21,3.82,83.0,None
Brothers: A Tale of Two Sons,2013-08-07,4.2,90.0,Teen
Transistor,2014-05-20,4.2,83.0,Teen
The Darkness II,2012-02-07,3.7,77.0,Mature
Max Payne 3,2012-05-15,4.24,87.0,None
BioShock 2 Remastered,2016-09-15,4.03,,Mature
The Elder Scrolls V: Skyrim Special Edition,2016-10-27,4.45,74.0,Adults Only
Dishonored 2,2016-11-10,4.26,86.0,Mature
Metro: Last Light Redux,2014-08-25,4.14,76.0,None
Watch Dogs,2014-05-27,3.53,77.0,Mature
Batman: Arkham City - Game of the Year Edition,2012-09-07,4.4,91.0,Teen
Cities: Skylines,2015-03-10,4.15,85.0,Everyone
GRID 2,2013-05-27,3.32,80.0,Everyone 10+
Layers of Fear,2016-02-16,3.55,72.0,Mature
Saints Row IV,2013-08-20,3.83,86.0,Mature
Alien: Isolation,2014-10-06,4.22,81.0,Mature
Metro 2033 Redux,2014-08-25,4.08,,None
Firewatch,2016-02-08,4.32,81.0,Mature
Batman: Arkham Origins,2013-10-16,3.92,74.0,Teen
Trine 2: Complete Story,2013-06-05,3.75,84.0,None
The Stanley Parable,2013-10-17,4.38,88.0,None
INSIDE,2016-06-28,4.41,87.0,Teen
The Wolf Among Us,2013-10-10,4.35,82.0,Mature
FEZ,2012-04-13,4.01,91.0,Everyone
Paladins,2016-09-15,3.11,78.0,Teen
Assassin’s Creed III,2012-10-30,3.69,80.0,Mature
Crusader Kings II,2012-02-14,3.57,82.0,None
Insurgency,2014-01-22,3.43,74.0,None
Viscera Cleanup Detail: Shadow Warrior,2013-09-26,2.56,,Mature
Titanfall 2,2016-10-28,4.32,87.0,Mature
Deus Ex: Human Revolution - Director's Cut,2013-10-22,4.3,91.0,Mature
Undertale,2015-09-14,4.34,92.0,Rating Pending
The Last Of Us,2013-06-14,4.59,95.0,Mature
Darksiders Warmastered Edition,2016-11-29,3.67,79.0,Mature
Amnesia: A Machine for Pigs,2013-09-09,3.21,72.0,None
The Bureau: XCOM Declassified,2013-08-20,3.05,66.0,None
Call of Duty: Black Ops III,2015-11-06,3.23,73.0,Mature
Rayman Legends,2013-08-29,4.17,89.0,Everyone 10+
Chivalry: Medieval Warfare,2012-10-16,3.39,79.0,None
Shadowrun Returns,2013-07-24,3.53,76.0,None
Unturned,2014-07-07,2.67,,None
SOMA,2015-09-21,4.17,84.0,Mature
Lara Croft and the Temple of Osiris,2014-12-08,3.18,73.0,None
South Park: The Stick of Truth,2014-03-04,4.21,84.0,Mature
DiRT Rally,2015-12-07,3.75,86.0,None
Thief,2014-02-25,3.22,70.0,Mature
Far Cry 4,2014-11-18,3.82,80.0,None
Tom Clancy's Rainbow Six Siege,2015-12-01,4.0,75.0,Teen
XCOM 2,2016-02-04,4.1,88.0,None
Battlefield 1,2016-10-21,3.81,88.0,None
DmC: Devil May Cry,2013-01-15,4.01,85.0,Mature
Grim Fandango Remastered,2015-01-26,4.0,84.0,Teen
